age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,Month,Day,Year
58,0,1.0,84,40599,1,0,0,85064,3,1,0,1.0,77,2,1,2513.927533,6.0,0,36977.978760000005,1,13998.38666,0,8,13,2015
62,1,1.0,82,41269,1,0,0,80015,6,2,1,0.0,78,2,1,2067.590252,5.0,2,29135.11188,3,7881.247872,0,9,25,2016
47,1,0.0,69,38508,0,0,0,20143,4,2,1,0.0,0,2,1,4587.728674,5.0,0,14550.28805,5,35403.81217,1,9,2,2016
22,1,0.0,49,30902,1,0,1,80021,5,0,1,0.0,68,1,1,7982.336026999999,5.0,0,14373.21383,1,9739.231253,1,4,16,2016
47,1,1.0,79,38483,0,0,1,50036,2,1,0,0.0,62,0,0,5935.9705460000005,3.0,0,16908.14613,2,18564.19126,1,4,20,2016
26,1,0.0,93,32591,1,1,1,50047,1,0,0,1.0,67,1,1,7661.866723,7.0,0,14372.27717,1,39002.8018,1,2,9,2016
38,1,0.0,63,36387,1,1,0,15053,3,0,0,0.0,83,2,1,1875.688845,3.0,0,31261.40239,0,12837.76488,1,4,7,2016
63,1,1.0,93,41428,1,1,0,85067,6,1,0,0.0,84,2,1,3992.977667,4.0,0,7458.089109,3,12713.39417,0,8,2,2015
35,1,1.0,63,35551,1,0,1,50047,4,2,3,0.0,97,0,1,5242.562288,4.0,2,40839.12416,2,20542.75429,0,11,13,2015
41,0,1.0,81,37119,1,1,0,85031,5,2,0,0.0,98,2,0,11074.49993,5.0,1,41916.15961,5,60022.57867,0,9,10,2016
30,1,1.0,72,34025,0,1,1,50047,5,1,0,0.0,49,2,0,5900.507621,10.0,2,25069.80315,4,6791.073297,1,7,11,2015
50,0,1.0,90,39117,1,1,1,85079,2,0,1,0.0,0,0,0,5869.3417,4.0,1,24211.61531,5,28250.69734,0,12,7,2016
35,0,0.0,86,35561,1,1,0,20132,3,1,0,1.0,64,0,1,4391.006072,2.0,1,16064.60673,3,6696.948989,0,3,24,2016
42,0,1.0,37,37368,1,1,0,15009,4,1,0,0.0,97,0,1,2286.855815,9.0,1,38782.52542,3,17732.65318,0,4,24,2015
69,0,1.0,68,42336,1,1,1,80024,0,1,1,1.0,37,0,1,2555.179947,1.0,2,21442.80756,2,25705.84281,0,9,12,2016
28,1,0.0,85,33327,0,1,0,15021,4,2,0,0.0,36,1,1,1965.753081,10.0,1,24573.68055,4,13930.50033,0,8,7,2015
30,0,1.0,79,33993,0,1,1,20165,4,1,0,0.0,1,0,1,2220.849033,5.0,0,25063.75455,0,26149.48866,0,8,12,2016
69,1,0.0,70,42352,0,0,1,15060,4,2,0,0.0,99,0,0,1912.52224,9.0,2,26679.72093,3,5636.813285,0,1,1,2016
41,1,0.0,33,37140,1,1,0,15018,3,2,5,0.0,5,2,1,5233.961701,2.0,0,27440.88412,5,26447.08966,0,8,4,2016
24,0,1.0,80,31767,1,1,1,80010,6,2,2,0.0,66,1,1,4703.710172,6.0,1,33478.12617,6,3021.407359,1,12,18,2016
72,0,1.0,82,42785,0,1,1,85029,2,2,0,1.0,42,0,1,8682.020795999999,3.0,1,20033.74414,4,27290.01654,0,1,27,2016
48,1,1.0,53,38712,0,1,1,20165,6,1,0,0.0,83,0,1,2711.993143,6.0,1,26247.03449,2,24320.41749,0,2,1,2015
31,1,0.0,78,34326,1,1,0,50021,5,2,0,0.0,76,2,1,1986.437038,5.0,0,39131.15578,0,44658.08904,0,12,26,2015
31,1,1.0,83,34347,1,0,0,15010,1,1,0,0.0,11,0,0,7431.434426000001,4.0,1,13544.558,0,36667.84401,0,3,31,2015
48,1,1.0,51,38701,1,1,1,15010,6,1,0,0.0,83,2,0,7283.061425,3.0,2,10125.75246,2,30684.7314,0,2,14,2016
39,1,1.0,54,36644,1,1,0,85074,0,2,0,0.0,40,1,1,4165.6795950000005,5.0,2,10621.07306,4,23843.99708,0,2,2,2015
78,1,1.0,61,43577,1,1,1,15010,5,1,0,0.0,25,2,1,3908.300991,6.0,1,28643.04973,6,31554.73932,1,10,8,2016
38,1,1.0,76,36374,1,0,0,80020,6,1,4,1.0,40,2,1,3594.521866,3.0,1,25162.9564,4,34363.3759,0,8,23,2015
58,0,1.0,56,40616,1,1,1,85028,1,0,0,1.0,99,0,0,1346.603764,3.0,0,10154.58531,1,24013.54195,1,1,6,2015
59,0,1.0,79,40777,1,1,1,50007,3,1,2,1.0,93,0,1,8969.794924,7.0,2,32607.40347,0,20880.75179,0,5,14,2015
33,0,1.0,31,34958,1,0,1,20130,0,1,3,0.0,48,2,1,9148.765275,3.0,2,13118.67565,1,15129.074880000002,0,3,30,2015
31,1,0.0,78,34341,1,0,0,80106,3,1,0,0.0,93,2,0,3244.330615,6.0,0,20936.84243,3,24656.22334,0,5,12,2016
31,0,0.0,94,34327,0,0,1,85038,4,2,2,0.0,2,2,1,1899.797609,5.0,0,21262.31249,6,31277.05033,0,10,2,2015
71,0,1.0,65,42609,0,0,0,85054,3,2,0,0.0,77,2,0,6133.930265999999,7.0,1,10728.60969,4,10901.52408,0,1,8,2015
22,0,1.0,83,30897,1,1,0,50049,5,2,0,0.0,0,1,1,5801.370911,10.0,0,21554.60851,3,10803.11824,0,1,16,2016
66,0,0.0,87,41890,1,0,0,85060,0,1,0,1.0,0,0,1,2687.473644,5.0,1,13536.82481,5,17400.79619,0,3,2,2015
133,1,1.0,60,48905,1,1,0,15014,2,1,0,0.0,22,0,1,5922.919482,7.0,1,7626.946942,1,24659.77971,0,8,26,2015
41,1,1.0,81,37141,0,1,0,50035,6,0,0,0.0,4,0,1,3844.360693,2.0,1,16156.21872,6,6556.531900999999,0,12,18,2016
32,1,1.0,97,34675,1,1,0,50047,1,2,0,1.0,69,2,1,2474.503079,5.0,2,16313.57841,0,15686.61188,0,1,26,2016
55,1,1.0,81,40081,1,1,1,15003,5,0,1,1.0,7,1,1,2022.314343,4.0,2,13147.36133,5,20520.1333,0,2,27,2016
33,0,1.0,76,34958,1,0,1,85072,6,0,0,0.0,61,2,0,5364.163592,4.0,0,13479.44598,0,14084.99804,0,12,18,2016
55,1,1.0,81,40069,1,1,1,20129,4,1,0,0.0,10,0,1,1795.0330239999998,9.0,0,40159.10143,5,15756.30518,0,7,15,2016
44,1,1.0,49,37855,1,1,0,20111,4,1,1,1.0,39,1,1,4117.140947999999,6.0,0,19840.70743,1,25392.34052,0,8,21,2015
66,0,1.0,71,41906,1,0,0,50012,2,1,0,0.0,7,0,0,3352.695861,3.0,0,35203.6731,4,40606.93982,0,2,18,2015
60,1,0.0,85,40934,0,1,0,85027,5,2,1,0.0,7,2,0,3249.175753,4.0,0,8299.373302,2,36181.35706,0,8,27,2016
41,0,1.0,66,37140,1,1,1,20104,5,2,2,0.0,92,0,1,6627.3228340000005,1.0,0,6812.920755,6,47880.84964,1,2,27,2016
35,1,1.0,81,35546,1,0,0,85036,6,2,0,0.0,46,0,1,4944.509604999999,8.0,2,42138.063030000005,0,20954.89757,0,2,7,2016
46,1,1.0,93,38302,1,1,1,80025,1,1,0,0.0,45,0,1,3855.013775,7.0,1,23771.01456,5,38244.06703,0,3,1,2016
32,0,1.0,66,34676,1,0,0,85060,5,0,0,0.0,8,0,0,7142.277506,9.0,0,18070.36651,0,7337.606862000001,0,2,20,2016
24,1,0.0,90,31788,0,0,1,80035,0,1,0,0.0,52,1,1,5479.042762,5.0,0,31221.26205,0,18964.09006,0,10,26,2015
53,0,0.0,86,39701,0,0,0,15037,1,1,0,0.0,71,1,0,4883.245075,7.0,1,10970.42287,6,17263.74357,0,7,26,2016
50,0,1.0,66,39150,1,0,1,50043,6,1,0,1.0,49,0,0,6117.4325770000005,2.0,2,43600.52774,0,39154.52864,0,2,22,2015
29,0,0.0,77,33660,1,1,1,80002,6,2,0,0.0,96,1,1,4027.338224,3.0,1,7590.862761,2,21365.8913,0,4,5,2015
45,0,0.0,77,38071,0,1,1,80022,0,0,0,0.0,7,2,0,4728.121428,2.0,2,21466.03576,0,41332.13128,1,4,20,2015
33,1,1.0,77,34949,1,1,0,50046,2,1,2,0.0,5,0,0,2920.737089,12.0,2,10421.51335,3,3242.111556,0,8,12,2015
27,1,1.0,48,32969,1,1,1,85022,0,2,0,0.0,2,1,0,3240.955927,8.0,0,22242.58954,4,24824.96997,0,2,29,2016
26,0,1.0,89,32578,1,1,1,85062,4,1,0,1.0,88,1,0,5786.168171,6.0,1,94243.50725,2,31928.54157,0,9,16,2016
26,0,1.0,66,32582,1,0,1,15006,1,2,2,0.0,68,1,1,4881.822384,9.0,1,14312.61926,3,7465.359193000001,0,3,31,2015
34,0,1.0,70,35278,1,1,0,85034,6,1,0,0.0,11,2,1,10369.54802,8.0,1,27596.56284,2,27418.23032,0,2,15,2015
57,0,1.0,93,40426,1,1,0,50035,3,1,1,0.0,22,1,0,4440.305754999999,7.0,0,19893.24245,2,26262.49476,0,7,23,2015
26,1,0.0,83,32590,1,0,1,50025,0,1,0,0.0,93,1,1,5146.824903,3.0,2,16283.461330000002,3,21324.44781,0,3,21,2016
28,1,1.0,92,33305,1,0,1,80109,1,2,2,0.0,92,1,1,3946.408329,8.0,1,19317.27869,4,12991.25514,0,10,27,2015
51,1,0.0,80,39328,1,0,1,15012,1,0,0,0.0,87,0,0,4062.595137,7.0,0,6478.250899000001,3,14135.08587,0,3,22,2016
46,0,1.0,88,38278,1,0,0,80047,0,2,0,0.0,49,0,1,1286.658045,8.0,0,15825.76215,0,38411.00263,0,6,15,2015
38,1,1.0,46,36382,0,0,1,85037,0,1,0,1.0,55,0,0,3734.335783,8.0,0,21895.93621,4,37278.35856,0,7,25,2016
42,1,1.0,91,37384,0,1,1,20152,2,2,2,0.0,49,0,1,8115.719809,4.0,0,21041.91676,2,32245.07493,0,11,30,2016
40,0,1.0,59,36891,0,0,1,15032,2,1,0,0.0,27,0,0,5450.951543,6.0,2,26281.40145,2,33750.65411,0,4,22,2015
22,1,1.0,71,30911,0,0,1,15022,6,2,1,1.0,48,1,0,5274.634531000001,10.0,1,35724.7214,2,20271.66068,0,4,17,2016
53,1,1.0,57,39692,1,0,1,85082,2,1,0,1.0,75,0,1,5768.062532,3.0,1,34238.30965,6,31713.20335,0,2,4,2015
56,0,1.0,70,40258,1,1,1,15010,4,2,0,0.0,99,0,1,6148.332688,4.0,2,13896.45906,6,35873.618760000005,0,7,24,2015
52,1,1.0,86,39526,1,0,1,80023,2,1,0,1.0,50,2,1,5204.923027000001,2.0,0,36928.31072,3,21649.17331,0,3,25,2015
52,0,0.0,78,39514,1,1,1,80022,0,1,1,1.0,4,0,1,2960.049707,3.0,0,14237.41558,0,13561.59416,0,6,15,2015
58,0,0.0,84,40600,0,0,0,15010,6,2,0,1.0,32,0,1,9126.978739,8.0,0,39933.19714,1,25573.20028,0,9,27,2015
61,1,1.0,40,41114,1,0,0,15001,2,2,1,0.0,7,0,1,11188.70141,7.0,2,36338.65456,6,16730.27499,0,9,7,2016
25,1,1.0,81,32191,1,1,1,50052,3,1,0,0.0,2,1,0,1216.997259,5.0,2,16102.30298,0,4735.711061,0,11,12,2015
40,1,0.0,69,36890,0,0,0,85023,3,2,0,0.0,73,0,1,4252.04811,4.0,1,6884.202534,4,40497.26609,0,10,1,2015
45,0,1.0,88,38066,1,1,0,85024,0,0,0,1.0,94,1,1,3335.7334920000003,7.0,2,23314.03707,1,17736.95324,0,10,19,2015
57,1,0.0,73,40419,1,1,0,50013,6,0,0,1.0,39,2,0,2916.523076,7.0,1,16323.05884,6,27329.186960000003,1,8,23,2015
22,0,1.0,88,30896,0,0,1,80027,1,1,0,0.0,98,2,0,5765.7997,6.0,1,60513.13642,0,11983.34447,0,12,13,2016
24,0,1.0,39,31786,1,0,1,80101,4,1,0,0.0,80,1,1,6022.258251,8.0,0,8327.329294,4,17024.45674,0,10,9,2015
36,0,1.0,96,35828,1,1,0,50050,4,2,0,1.0,84,0,1,6636.546243,5.0,0,17850.07776,5,23165.10776,0,12,16,2016
37,1,1.0,57,36106,1,1,0,80046,3,1,0,1.0,95,0,0,2156.223939,5.0,2,12790.99136,4,31471.96969,0,11,5,2015
48,0,1.0,38,38717,1,1,0,85030,1,0,1,0.0,0,0,1,3342.76429,3.0,2,18511.4928,2,13840.75141,0,7,21,2015
33,1,0.0,77,34962,1,1,1,15001,5,1,1,0.0,22,2,0,3104.452494,2.0,0,42454.15714,6,22338.93711,0,10,22,2016
54,0,1.0,85,39895,1,1,0,50022,4,1,1,0.0,31,1,1,2461.691792,4.0,1,9410.239639,1,27203.35031,0,7,29,2016
55,1,1.0,66,40082,1,1,0,80022,2,1,0,1.0,35,0,0,3029.561522,5.0,0,8920.516431999999,0,24350.10476,0,2,3,2016
48,1,1.0,98,38696,1,0,0,85053,5,2,0,1.0,50,2,1,2713.186754,9.0,2,11178.16212,0,30078.0509,0,1,31,2015
39,0,1.0,74,36639,1,0,1,20104,1,1,1,0.0,43,2,1,5034.105527000001,4.0,0,19699.5148,0,48433.9752,1,3,29,2016
34,1,0.0,64,35268,0,0,0,50021,2,1,1,1.0,6,0,1,4495.366963,6.0,1,16683.05473,3,15895.94911,0,5,20,2015
56,0,1.0,84,40273,1,1,1,20118,6,1,0,0.0,0,2,1,4958.121964,7.0,0,15791.4311,4,21267.48745,0,2,21,2016
41,0,1.0,84,37138,1,1,0,15025,6,1,0,0.0,87,2,0,8846.651091,4.0,1,16976.0845,3,37082.79289,0,11,27,2016
29,0,1.0,51,33681,1,1,1,20135,0,2,1,0.0,5,1,1,2116.21426,2.0,1,38921.34216,3,10843.09725,0,4,25,2016
46,1,0.0,90,38284,1,0,1,15030,4,1,2,0.0,0,0,1,2817.374483,5.0,2,15948.27634,1,36568.61619,0,4,22,2016
34,0,1.0,71,35264,0,0,0,20132,2,1,0,1.0,15,0,1,7040.934617,5.0,1,19299.12811,4,18551.98922,0,2,24,2016
55,0,0.0,67,40088,1,1,0,50054,5,1,0,0.0,2,2,0,2369.16912,6.0,0,24521.08786,1,4651.624374,0,3,5,2016
45,0,1.0,77,38079,1,1,0,50002,3,2,0,0.0,61,0,0,5703.399697,2.0,0,11123.72718,6,15577.159119999998,0,10,1,2015
53,0,0.0,63,39696,1,1,0,50025,4,0,0,0.0,79,1,1,7317.038348,2.0,0,40300.98219,4,28176.30651,0,1,2,2015
32,1,1.0,81,34668,1,0,1,80110,6,0,2,0.0,49,2,1,6985.534406999999,3.0,0,28568.51952,2,11101.0379,0,10,25,2015
54,1,1.0,83,39892,1,1,1,15006,4,0,0,1.0,55,2,1,2561.150058,7.0,1,4281.449844,5,13549.10892,0,4,3,2015
40,1,0.0,74,36882,1,0,1,80035,4,1,0,1.0,91,2,1,4953.767076,2.0,0,18877.34856,3,27404.07712,0,7,22,2016
41,0,1.0,68,37133,1,0,1,85020,3,2,0,0.0,99,2,0,5914.754935,7.0,1,14950.52039,6,34541.4241,0,1,14,2016
52,1,1.0,73,39505,1,0,0,15021,1,1,3,0.0,77,2,0,2275.165594,8.0,1,26074.25929,5,16176.90248,0,7,28,2015
56,1,0.0,86,40266,1,0,1,15021,6,2,1,0.0,17,2,1,3968.530851,10.0,1,8148.66297,5,38556.39829,0,6,14,2015
34,1,0.0,62,35269,1,1,0,80014,3,2,0,0.0,50,0,1,5789.134785,5.0,2,25412.59294,5,15757.35108,0,12,31,2015
35,1,0.0,56,35553,0,1,1,80033,3,2,0,1.0,38,2,0,2979.609863,6.0,2,18407.65331,2,50462.450710000005,0,1,21,2016
36,0,1.0,84,35846,0,0,1,15020,3,1,1,0.0,39,0,1,6152.627332999999,6.0,1,8370.168773000001,4,22698.38452,0,8,6,2015
38,1,0.0,73,36377,1,0,1,80033,0,1,0,1.0,0,0,1,5629.780509,4.0,2,24109.76685,0,38976.462230000005,0,4,6,2015
35,1,1.0,82,35546,1,1,0,50003,5,2,4,0.0,25,2,1,4698.815476,5.0,2,10280.04144,6,11468.8452,0,2,13,2016
34,0,1.0,97,35268,1,1,0,20120,3,1,0,0.0,12,0,1,1634.839251,3.0,0,26726.72534,5,17240.26451,1,9,15,2016
20,1,0.0,71,29954,1,1,1,50012,3,1,0,1.0,49,2,1,3437.45185,7.0,0,31812.19033,0,16692.14338,0,4,16,2015
22,0,1.0,98,30906,0,0,1,50029,1,1,0,0.0,45,2,0,6959.449217,4.0,1,27505.16887,3,13140.30695,0,2,17,2015
62,1,1.0,85,41270,1,0,0,20106,3,1,3,0.0,80,2,1,5693.607468,8.0,0,38790.10093,2,13387.79056,0,12,8,2016
34,0,1.0,96,35265,1,1,0,85029,5,0,2,0.0,50,2,0,4229.660181,3.0,0,43115.6692,0,29369.68377,0,1,9,2016
56,1,1.0,88,40250,0,0,1,85001,5,1,0,0.0,94,2,1,5750.805851,4.0,1,46795.6081,6,15226.53732,0,2,7,2015
32,0,0.0,85,34648,1,1,0,85080,5,2,0,0.0,76,2,0,2702.432549,5.0,0,21789.75994,3,18700.9019,0,5,14,2016
50,0,1.0,89,39128,1,0,1,50057,6,2,1,0.0,99,0,0,6189.95955,6.0,0,12527.84909,1,20439.67604,0,3,1,2015
80,1,0.0,59,43828,1,0,0,20159,6,2,0,0.0,84,2,0,4185.839004,1.0,0,9203.338836,0,22017.815280000003,0,6,21,2015
51,1,1.0,63,39326,1,1,0,50036,6,2,2,0.0,80,0,1,1911.01975,2.0,0,53162.50515,5,19582.85249,0,7,5,2015
52,1,0.0,74,39522,1,0,1,85042,0,1,0,0.0,13,0,0,6412.88499,5.0,2,24187.8776,0,17139.19053,0,1,12,2015
48,0,1.0,25,38707,0,0,1,80005,5,1,0,0.0,50,0,1,3404.837697,1.0,2,18189.11257,5,11611.15328,0,5,23,2015
47,1,1.0,95,38502,0,0,0,85008,5,0,2,1.0,100,2,1,3762.774234,2.0,1,9292.721035,5,20914.33802,0,8,20,2016
25,1,0.0,75,32203,1,1,1,85074,1,2,2,0.0,0,1,0,4653.153173,3.0,1,82404.59158,0,18950.39313,0,8,4,2015
48,0,1.0,72,38715,1,0,1,80020,1,1,0,0.0,76,0,1,2635.051395,5.0,2,31497.50588,2,32584.73013,0,10,4,2016
34,0,1.0,78,35257,0,1,0,20163,2,1,2,0.0,64,0,0,6612.770279,8.0,2,21568.53426,5,25739.78456,0,4,20,2016
37,1,1.0,89,36107,0,1,1,20103,2,0,1,1.0,83,0,1,2564.30927,5.0,2,14136.45386,3,33443.971,0,10,5,2016
38,1,0.0,61,36374,1,1,0,80018,0,0,1,0.0,10,2,1,4599.9776950000005,3.0,0,11219.44187,2,12576.6895,0,6,1,2015
52,1,1.0,84,39509,1,0,1,20147,6,0,0,1.0,3,2,1,6011.649372,6.0,1,22527.25849,1,12877.42713,0,12,13,2015
44,0,0.0,81,37841,1,1,0,20107,6,1,1,0.0,0,2,1,3411.935273,5.0,2,44758.48747,4,44783.25431,1,9,11,2016
33,0,1.0,67,34980,1,1,0,85037,6,1,0,0.0,50,2,1,7533.21834,3.0,2,21992.21936,0,24978.47619,0,3,27,2016
49,0,0.0,79,38931,1,1,0,20109,5,2,1,0.0,50,0,1,8592.558578,6.0,0,14693.0375,4,16483.78137,1,9,26,2015
60,0,1.0,71,40952,1,0,0,50038,4,2,1,0.0,70,0,1,4998.742216,6.0,0,61685.36327,0,28952.12913,0,10,23,2015
65,0,0.0,28,41743,1,0,1,15005,3,2,0,1.0,3,0,1,3204.851078,4.0,2,9196.361108,5,14926.23874,0,3,24,2016
47,0,1.0,82,38511,1,1,1,50009,0,0,4,0.0,93,2,1,10563.01678,6.0,2,13428.66218,3,15892.887380000002,0,12,7,2015
40,1,1.0,89,36891,0,0,1,20165,4,1,0,0.0,94,2,1,6250.153028,3.0,1,16365.914030000002,2,39092.42649,0,8,26,2016
38,0,1.0,67,36369,1,0,1,80026,5,1,0,0.0,50,0,1,9063.804963,4.0,0,22138.37828,2,47412.80332,0,2,7,2015
44,0,1.0,67,37833,1,1,0,15012,1,0,1,1.0,95,0,1,3075.579175,8.0,1,22154.90606,4,32911.57387,0,1,5,2016
52,1,1.0,87,39511,1,0,1,50022,1,1,0,0.0,1,0,1,1937.791819,7.0,0,29189.09873,6,5044.125448,0,12,27,2016
43,1,1.0,71,37611,1,1,1,80012,2,1,1,0.0,50,2,1,6650.958686999999,5.0,1,18972.58388,2,24648.50357,0,12,7,2016
44,1,0.0,22,37839,0,0,1,80025,1,1,1,0.0,50,2,0,11151.03374,4.0,1,17982.37331,6,14789.27281,1,3,31,2015
33,1,1.0,88,34971,1,0,1,85010,3,2,0,0.0,47,0,0,2398.934033,3.0,1,11090.99672,0,25922.99117,0,1,1,2015
37,0,1.0,29,36119,1,0,1,50041,6,1,1,0.0,1,2,0,4734.887193,6.0,2,26761.51028,3,18552.79651,0,6,28,2015
44,0,1.0,88,37838,1,1,1,15025,1,2,0,0.0,73,0,0,2917.494285,4.0,2,9840.458214,5,21915.61118,0,6,30,2015
45,0,1.0,79,38084,1,1,1,20115,4,1,0,0.0,82,2,1,3209.0170190000003,4.0,1,7548.164118000001,4,35462.550610000006,0,7,22,2016
45,1,0.0,79,38070,0,1,0,50044,6,0,0,0.0,49,0,1,3840.900549,6.0,2,25697.49632,4,38291.77575,1,8,23,2015
41,0,1.0,69,37157,1,0,1,50008,2,2,0,0.0,18,0,1,6717.495571,7.0,2,42376.85169,6,11422.32697,0,4,1,2015
28,1,1.0,91,33301,1,1,1,20132,4,0,0,0.0,19,1,0,2642.6717670000003,4.0,0,18974.71464,4,33214.944339999995,0,11,13,2015
32,0,1.0,71,34661,0,1,1,15060,2,2,0,0.0,58,1,0,6907.495274,7.0,0,33351.83836,5,9890.160371,0,5,4,2016
37,1,1.0,86,36111,1,1,1,80020,5,2,2,0.0,97,0,1,4671.427922999999,2.0,2,34739.44764,2,14240.38272,0,4,25,2015
22,1,1.0,67,30913,1,0,1,15021,1,0,0,0.0,0,2,0,4466.460396,5.0,1,11015.74761,5,38589.60187,0,1,26,2016
22,1,0.0,95,30920,1,1,1,15022,5,1,0,0.0,91,1,1,8030.423032,4.0,0,36418.858680000005,6,23697.85285,0,11,12,2016
41,0,1.0,74,37127,0,0,1,20111,4,0,0,0.0,0,0,0,8270.707608,9.0,2,9657.022189,2,11697.4505,1,4,10,2015
